name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
hot-update,1000,asfp,102400,1.8260853290557861,1.0416507720947266,5.075812339782715,5.28278112411499,5.900859832763672,0.7271766662597656,1.8068630695343018,547.62,0.00
cold-get,1000,asfp,102400,1.5784614086151123,1.0139942169189453,3.7203550338745117,3.9745330810546875,12.747049331665039,0.6067752838134766,1.5598170757293701,633.53,0.00
cold-update,1000,asfp,102400,2.127810001373291,1.0123252868652344,6.233525276184082,6.527867317199707,12.581825256347656,0.6721019744873047,2.1091344356536865,469.97,0.00
hot-get,1000,local,1048576,5.199666500091553,4.907131195068359,6.108856201171875,8.138678073883057,11.945724487304688,4.666805267333984,5.187098741531372,192.32,0.00
hot-update,1000,local,1048576,29.84540319442749,29.733657836914062,29.962563514709473,32.28789806365967,38.99693489074707,29.430627822875977,29.82856512069702,33.51,0.00
cold-get,1000,local,1048576,23.457021951675415,23.945331573486328,24.137496948242188,25.206327438354492,105.50785064697266,20.48206329345703,23.4397029876709,42.63,0.00
cold-update,1000,local,1048576,45.19023036956787,47.1491813659668,47.63529300689697,48.584744930267334,111.71126365661621,37.42098808288574,45.16605019569397,22.13,0.00
hot-get,1000,remote,1048576,1.7635200023651123,1.8854141235351562,1.9639015197753906,2.018465995788574,6.173849105834961,0.9815692901611328,1.7477366924285889,567.05,0.00
hot-update,1000,remote,1048576,1.8407633304595947,1.9723176956176758,2.012515068054199,2.042543888092041,6.1283111572265625,0.9701251983642578,1.823582649230957,543.25,0.00
cold-get,1000,remote,1048576,1.8615896701812744,1.9148588180541992,2.0053625106811523,2.0699572563171387,85.13021469116211,1.0733604431152344,1.8452987670898438,537.18,0.00
cold-update,1000,remote,1048576,1.9165558815002441,1.9440650939941406,2.02181339263916,2.059471607208252,82.67760276794434,1.1456012725830078,1.8987386226654053,521.77,0.00
hot-get,1000,kayak,1048576,4.985891342163086,7.63392448425293,8.046913146972656,8.600072860717772,11.716365814208984,1.1806488037109375,4.966749906539917,200.57,0.00
hot-update,1000,kayak,1048576,16.55992579460144,2.760767936706543,31.031203269958496,32.22564220428467,39.12091255187988,1.821756362915039,16.535431385040283,60.39,0.00
cold-get,1000,kayak,1048576,12.020269870758057,2.0651817321777344,23.95021915435791,24.550793170928955,105.67164421081543,1.7809867858886719,12.001901626586914,83.19,0.00
cold-update,1000,kayak,1048576,22.05733823776245,2.118349075317383,47.43185043334961,48.3191180229187,72.73197174072266,1.7783641815185547,22.035120487213135,45.34,0.00
hot-get,1000,asfp,1048576,3.4653024673461914,2.0079612731933594,9.002494812011719,9.410104751586914,11.319398880004883,1.7495155334472656,3.446176290512085,288.58,0.00
hot-update,1000,asfp,1048576,8.528454065322876,1.9469261169433594,31.843996047973633,32.64547348022461,39.077043533325195,1.7495155334472656,8.50791597366333,117.25,0.00
cold-get,1000,asfp,1048576,6.205585241317749,2.014756202697754,22.403740882873535,23.108513355255127,79.08105850219727,1.7743110656738281,6.186878681182861,161.15,0.00
cold-update,1000,asfp,1048576,9.906251192092896,1.995682716369629,39.72268104553223,40.46624183654785,72.78561592102051,1.6794204711914062,9.885590076446533,100.95,0.00
