name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
hot-update,1000,local,102400,4.092959403991699,4.078388214111328,4.199981689453125,4.409627914428711,7.311820983886719,3.7841796875,4.075772285461426,244.32,0.00
cold-get,1000,local,102400,2.8923254013061523,2.8928518295288086,2.9485464096069336,3.0120301246643066,14.842748641967773,2.578258514404297,2.8768768310546875,345.74,0.00
cold-update,1000,local,102400,6.021793365478516,6.109833717346191,6.264543533325195,6.801424026489257,17.564773559570312,5.238533020019531,6.0052268505096436,166.06,0.00
hot-get,1000,remote,102400,0.9871289730072021,0.975489616394043,1.0741233825683594,1.1229658126831055,1.8792152404785156,0.7138252258300781,0.971285343170166,1013.04,0.00
hot-update,1000,remote,102400,3.308058977127075,3.287076950073242,3.3397674560546875,3.443136215209961,6.815195083618164,3.134489059448242,3.291212558746338,302.29,0.00
cold-get,1000,remote,102400,0.9783337116241455,0.9543895721435547,1.0498285293579102,1.1212825775146484,12.674331665039062,0.7338523864746094,0.9622719287872314,1022.15,0.00
cold-update,1000,remote,102400,3.0625455379486084,3.0341148376464844,3.099703788757324,3.38374376296997,14.142513275146484,2.8238296508789062,3.0456411838531494,326.53,0.00
hot-get,1000,kayak,102400,1.0926518440246582,1.081705093383789,1.168990135192871,1.2350106239318848,4.548072814941406,0.682830810546875,1.0738279819488525,915.20,0.00
hot-update,1000,kayak,102400,3.6328415870666504,3.885984420776367,4.096746444702148,4.1518330574035645,6.30497932434082,2.930164337158203,3.613604784011841,275.27,0.00
cold-get,1000,kayak,102400,1.950652837753296,2.559185028076172,3.027939796447754,3.1879091262817383,14.961719512939453,0.6411075592041016,1.9325735569000244,512.65,0.00
cold-update,1000,kayak,102400,4.400515556335449,5.04148006439209,5.965876579284668,6.082675457000732,16.473054885864258,2.7408599853515625,4.381161212921143,227.25,0.00
hot-get,1000,asfp,102400,1.0495336055755615,0.887751579284668,1.7720699310302734,2.0406341552734375,4.67371940612793,0.5075931549072266,1.0330166816711426,952.80,0.00
hot-update,1000,asfp,102400,3.5329904556274414,3.1870603561401367,5.0461530685424805,5.203039646148682,6.8531036376953125,2.9549598693847656,3.513615369796753,283.05,0.00
cold-get,1000,asfp,102400,1.538304090499878,1.0203123092651367,3.6692380905151367,3.918912410736084,15.56849479675293,0.6933212280273438,1.5200636386871338,650.07,0.00
cold-update,1000,asfp,102400,3.7515854835510254,3.0994415283203125,6.575274467468262,6.7575764656066895,14.10365104675293,2.8748512268066406,3.7325501441955566,266.55,0.00
hot-get,1000,local,1048576,6.099613666534424,5.947470664978027,6.480264663696289,8.185899257659912,12.709856033325195,5.480289459228516,6.0824151039123535,163.94,0.00
hot-update,1000,local,1048576,30.813453435897827,30.69019317626953,30.81803321838379,31.859960556030263,39.145469665527344,30.462026596069336,30.78640103340149,32.45,0.00
cold-get,1000,local,1048576,23.986120223999023,24.434208869934082,24.571657180786133,25.438563823699948,92.69952774047852,21.188020706176758,23.968793869018555,41.69,0.00
cold-update,1000,local,1048576,45.270787954330444,47.00016975402832,47.60441780090332,49.17572498321533,124.60756301879883,38.12909126281738,45.25072360038757,22.09,0.00
hot-get,1000,remote,1048576,1.8314096927642822,1.939535140991211,2.0356178283691406,2.0853662490844727,6.667137145996094,1.0294914245605469,1.8145034313201904,546.03,0.00
hot-update,1000,remote,1048576,25.261095762252808,25.195598602294922,25.316691398620605,26.235804557800293,33.19382667541504,24.85060691833496,25.239811658859253,39.59,0.00
cold-get,1000,remote,1048576,1.8662288188934326,1.8951892852783203,1.981496810913086,2.0142436027526855,85.26325225830078,0.9820461273193359,1.8496551513671875,535.84,0.00
cold-update,1000,remote,1048576,22.107837677001953,21.964311599731445,22.033238410949707,23.299288749694824,93.28794479370117,21.268129348754883,22.088959455490112,45.23,0.00
hot-get,1000,kayak,1048576,4.998929500579834,7.45701789855957,7.956075668334961,8.430006504058838,14.586925506591797,1.2526512145996094,4.979280471801758,200.04,0.00
hot-update,1000,kayak,1048576,28.10776448249817,30.5023193359375,31.549954414367676,32.35767364501953,37.25481033325195,24.068355560302734,28.08199715614319,35.58,0.00
cold-get,1000,kayak,1048576,12.5659339427948,20.872950553894043,23.82686138153076,24.63022470474243,85.19530296325684,1.748800277709961,12.546447515487671,79.58,0.00
cold-update,1000,kayak,1048576,34.125752210617065,38.6427640914917,47.992730140686035,48.81208658218384,126.39856338500977,20.845890045166016,34.10057592391968,29.30,0.00
hot-get,1000,asfp,1048576,3.343670129776001,1.9439458847045898,8.840107917785645,9.119715690612793,10.944128036499023,1.0828971862792969,3.3247597217559814,299.07,0.00
hot-update,1000,asfp,1048576,26.620995044708252,25.162816047668457,32.73899555206299,33.406782150268555,35.893917083740234,24.219751358032227,26.5962815284729,37.56,0.00
cold-get,1000,asfp,1048576,6.253702640533447,2.021193504333496,22.362613677978516,23.129208087921143,76.82490348815918,1.7809867858886719,6.234210014343262,159.91,0.00
cold-update,1000,asfp,1048576,25.710490226745605,21.961092948913574,40.55521488189697,41.42279863357544,103.76620292663574,20.90620994567871,25.687262773513794,38.89,0.00
