name,num_op,strategy,dependent_access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
100,1000,local,4,1.0406630039215088,1.0063648223876953,1.2295961380004883,1.4443635940551758,1.9254684448242188,0.8575916290283203,1.035430908203125,960.93,0.00
100,1000,remote,4,1.2777488231658936,1.2753009796142578,1.3289690017700195,1.3566327095031738,2.050161361694336,0.9825229644775391,1.2670445442199707,782.63,0.00
100,1000,kayak,4,1.0705735683441162,1.0209083557128906,1.2552499771118164,1.383357048034668,1.8210411071777344,0.8351802825927734,1.0602328777313232,934.08,0.00
100,1000,asfp,4,1.349480390548706,1.1837482452392578,2.14078426361084,2.4030208587646484,2.5599002838134766,0.8916854858398438,1.3372418880462646,741.03,0.00
1000,1000,local,4,2.1797218322753906,2.1845102310180664,2.396225929260254,2.579069137573242,2.993345260620117,1.8339157104492188,2.169177293777466,458.77,0.00
1000,1000,remote,4,2.3048880100250244,2.2983551025390625,2.3429393768310547,2.373180389404297,3.1270980834960938,2.05230712890625,2.294080972671509,433.86,0.00
1000,1000,kayak,4,2.1065070629119873,2.094745635986328,2.2707223892211914,2.3403191566467285,2.994060516357422,1.7764568328857422,2.093662977218628,474.72,0.00
1000,1000,asfp,4,2.4346277713775635,2.240777015686035,3.3382892608642583,3.7767791748046875,4.107236862182617,1.8367767333984375,2.421666145324707,410.74,0.00
10000,1000,local,4,11.963070631027222,12.064695358276367,12.288331985473633,12.346029281616211,13.018131256103516,11.003971099853516,11.951605081558228,83.59,0.00
10000,1000,remote,4,11.349190711975098,11.327505111694336,11.368060111999512,11.74941062927246,12.165307998657227,11.146306991577148,11.338606357574463,88.11,0.00
10000,1000,kayak,4,11.376431703567505,11.339902877807617,11.492562294006348,11.696116924285889,12.05754280090332,11.01827621459961,11.36300277709961,87.90,0.00
10000,1000,asfp,4,11.626827478408813,11.330366134643555,12.63892650604248,13.013501167297363,13.227462768554688,11.199235916137695,11.613750696182251,86.01,0.00
100000,1000,local,4,101.5902898311615,101.57239437103271,101.62239074707031,101.66409492492676,102.4942398071289,101.09281539916992,101.57876420021057,9.84,0.00
100000,1000,remote,4,101.23978185653687,101.22442245483398,101.2425422668457,101.3409686088562,102.01430320739746,101.12905502319336,101.22902250289917,9.88,0.00
100000,1000,kayak,4,101.60824179649353,101.48060321807861,101.9977331161499,102.33330726623535,102.67829895019531,101.20677947998047,101.59475708007812,9.84,0.00
100000,1000,asfp,4,101.53830194473267,101.31311416625977,102.49536037445068,102.96885251998901,103.3475399017334,101.11474990844727,101.52539992332458,9.85,0.00
100,1000,local,8,1.7762086391448975,1.7397403717041016,1.9295930862426758,2.3284101486206055,2.8944015502929688,1.6460418701171875,1.7709228992462158,563.00,0.00
100,1000,remote,8,1.134291648864746,1.1279582977294922,1.1920928955078125,1.228349208831787,1.9769668579101562,0.8263587951660156,1.1237921714782715,881.61,0.00
100,1000,kayak,8,1.3413970470428467,1.2105703353881836,1.8048286437988281,1.9979476928710938,2.7604103088378906,0.7638931274414062,1.3315389156341553,745.49,0.00
100,1000,asfp,8,1.4695615768432617,1.1862516403198242,2.7704954147338867,3.130207061767578,3.2091140747070312,0.7653236389160156,1.4577620029449463,680.48,0.00
1000,1000,local,8,2.7384612560272217,2.703428268432617,2.9687881469726562,3.0074167251586914,4.25410270690918,2.3038387298583984,2.730621814727783,365.17,0.00
1000,1000,remote,8,2.3052778244018555,2.302408218383789,2.347707748413086,2.3696470260620117,3.030538558959961,2.057790756225586,2.2942864894866943,433.79,0.00
1000,1000,kayak,8,2.350393533706665,2.619147300720215,2.777409553527832,2.8891897201538086,3.6826133728027344,1.682281494140625,2.3410778045654297,425.46,0.00
1000,1000,asfp,8,2.451509714126587,2.210378646850586,3.7315845489501953,3.957078456878662,4.99415397644043,1.7123222351074219,2.4394984245300293,407.91,0.00
10000,1000,local,8,12.003217935562134,11.958599090576172,12.21935749053955,12.48699426651001,13.092517852783203,11.657238006591797,11.992433547973633,83.31,0.00
10000,1000,remote,8,11.343305826187134,11.325478553771973,11.36162281036377,12.047033309936523,12.185811996459961,11.17849349975586,11.332672357559204,88.16,0.00
10000,1000,kayak,8,11.816649436950684,11.806368827819824,12.462663650512695,12.831981182098389,13.33475112915039,11.150121688842773,11.80361795425415,84.63,0.00
10000,1000,asfp,8,11.685757637023926,11.289834976196289,13.054919242858887,13.153796195983887,13.903379440307617,11.144876480102539,11.67310118675232,85.57,0.00
100000,1000,local,8,102.31214189529419,102.24437713623047,102.4162769317627,102.99826622009277,103.47676277160645,101.78947448730469,102.300461769104,9.77,0.00
100000,1000,remote,8,101.37608170509338,101.3638973236084,101.3784408569336,101.40166997909546,102.16140747070312,101.23658180236816,101.36522197723389,9.86,0.00
100000,1000,kayak,8,101.8692135810852,101.41515731811523,102.48134136199951,103.1036901473999,103.45029830932617,101.16887092590332,101.8559103012085,9.82,0.00
100000,1000,asfp,8,101.92614030838013,101.34458541870117,104.2487621307373,105.02894401550293,105.34524917602539,101.23014450073242,101.91316962242126,9.81,0.00
